danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.535,0.225,-13.865,0.0301,0.869,1.57e-06,0.0988,0.338,107.384,the sound of silence,simon & garfunkel,0
0.511,0.887,-5.05,0.182,0.205,0.0,0.042,0.614,161.62,a well respected man,the kinks,0
0.581,0.669,-3.659,0.0385,0.19,0.0,0.243,0.926,78.073,barbara ann,the beach boys,0
0.548,0.728,-6.631,0.0367,0.424,0.0,0.0525,0.649,112.332,california dreamin',the mamas & the papas,0
0.822,0.332,-11.369,0.0506,0.834,0.0,0.11,0.834,110.802,daydream,the lovin' spoonful,0
0.404,0.272,-11.765,0.0286,0.264,0.0,0.0528,0.326,97.941,when a man loves a woman,percy sledge,0
0.516,0.15,-20.41,0.0272,0.13,0.0755,0.122,0.205,97.398,when a man loves a woman,percy sledge,0
0.453,0.658,-13.472,0.0539,0.741,0.0288,0.135,0.761,203.871,wild thing,the troggs,0
0.544,0.254,-13.058,0.0256,0.476,1.79e-05,0.481,0.579,83.218,warm and tender love,percy sledge,0
0.385,0.657,-6.975,0.0342,0.724,0.0,0.105,0.672,124.895,wouldn't it be nice,the beach boys,0
0.629,0.677,-7.239,0.0299,0.122,9.72e-06,0.0962,0.627,132.783,sunshine superman,donovan,0
0.63,0.711,-9.34,0.0472,0.299,0.0,0.0813,0.659,96.912,you can't hurry love,the supremes,0
0.433,0.469,-9.853,0.032,0.156,0.0,0.0479,0.334,115.876,god only knows,the beach boys,0
0.616,0.636,-7.055,0.0325,0.208,0.0,0.517,0.654,110.618,yellow submarine,the beatles,0
0.521,0.301,-7.118,0.0356,0.836,0.0,0.398,0.621,137.382,eleanor rigby,the beatles,0
0.358,0.753,-6.641,0.0986,0.000259,0.0199,0.266,0.688,164.896,psychotic reaction,count five,0
0.371,0.424,-9.497,0.0411,0.332,4.95e-06,0.131,0.325,151.621,good vibrations,the beach boys,0
0.657,0.381,-10.865,0.0308,0.769,0.0,0.108,0.692,106.93,single girl,sandy posey,0
0.502,0.772,-6.205,0.0322,0.595,2.47e-06,0.199,0.935,79.463,i'm a believer,the monkees,0
0.551,0.625,-6.375,0.0317,0.016,0.000253,0.118,0.367,131.319,(i'm not your) steppin' stone,the monkees,0
0.298,0.634,-9.309,0.0407,0.799,1.51e-05,0.299,0.381,138.693,kind of a drag,the buckinghams,0
0.524,0.553,-10.767,0.0292,0.831,0.0,0.174,0.517,104.578,ruby tuesday,the rolling stones,0
0.584,0.367,-9.638,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,happy together,the turtles,0
